building_name,number_tested,proficient_and_higher,prof_percent
"Wright, Charles School",179,112,0.6256983240223464
Chrysler Elementary School,92,52,0.5652173913043478
Bates Academy,565,277,0.4902654867256637
Davison Elementary-Middle School,434,199,0.45852534562211983
Burton International School,364,134,0.36813186813186816
Dixon Elementary School,476,169,0.3550420168067227
Pasteur Elementary School,163,43,0.26380368098159507
Greenfield Union Elementary-Middle School,155,38,0.24516129032258063
Thirkell Elementary School,255,60,0.23529411764705882
Cooke Elementary School,179,41,0.22905027932960895
